display_name|preprocessor|model_full_name
pix2pix|none|control_v11e_sd15_ip2p_fp16 [fabb3f7d]
style_transfer|none|t2iadapter_style-fp16 [0e2e8330]
canny|canny|control_v11p_sd15_canny_fp16 [b18e0966]
depth|depth|control_v11f1p_sd15_depth_fp16 [4b72d323]
depth_leres|depth_leres|control_v11f1p_sd15_depth_fp16 [4b72d323]
depth_leres++|depth_leres++|control_v11f1p_sd15_depth_fp16 [4b72d323]
mlsd|mlsd|control_v11p_sd15_mlsd_fp16 [77b5ad24]
openpose|openpose|control_v11p_sd15_openpose_fp16 [73c2b67d]
openpose_hand|openpose_hand|control_v11p_sd15_openpose_fp16 [73c2b67d]
openpose_face|openpose_face|control_v11p_sd15_openpose_fp16 [73c2b67d]
openpose_faceonly|openpose_faceonly|control_v11p_sd15_openpose_fp16 [73c2b67d]
openpose_full|openpose_full|control_v11p_sd15_openpose_fp16 [73c2b67d]
pidinet_sketch|pidinet_sketch|t2iadapter_sketch-fp16 [75b15924]
pidinet_scribble|pidinet_scribble|control_v11p_sd15_scribble_fp16 [4e6af23e]
scribble_hed|scribble_hed|control_v11p_sd15_scribble_fp16 [4e6af23e]
segmentation|segmentation|control_v11p_sd15_seg_fp16 [ab613144]
depth_zoe|depth_zoe|control_v11f1p_sd15_depth_fp16 [4b72d323]
normal_bae|normal_bae|control_v11p_sd15_normalbae_fp16 [592a19d8]
lineart|lineart|control_v11p_sd15_lineart_fp16 [5c23b17d]
lineart_coarse|lineart_coarse|control_v11p_sd15_lineart_fp16 [5c23b17d]
lineart_anime|lineart_anime|control_v11p_sd15s2_lineart_anime_fp16 [c58f338b]
lineart_standard|lineart_standard|control_v11p_sd15_lineart_fp16 [5c23b17d]
shuffle|shuffle|control_v11e_sd15_shuffle_fp16 [04a71f87]
tile_resample|tile_resample|control_v11u_sd15_tile_fp16 [39a89b25]
invert|invert|t2iadapter_sketch-fp16 [75b15924]
lineart_anime_denoise|lineart_anime_denoise|control_v11p_sd15s2_lineart_anime_fp16 [c58f338b]
inpaint|inpaint|control_v11p_sd15_inpaint_fp16 [be8bc0ed]
